Countrycode,Seriescode,Description
BGD,SG.GEN.PARL.ZS,"In 2004, the number of seats in parliament was raised from 300 to 345, with the addition of 45 reserved seats for women. These reserved seats were filled in September and October 2005, being allocated to political parties in proportion to their share of the national vote received in the 2001 election. 
The parliament was dissolved on 27 October 2006, in view of elections that are yet to take place. Women held 52 of the 345 seats (15%) in the outgoing parliament. 
45 reserved seats reserved for women are yet to be filled in 2008."
BGD,SM.POP.NETM,Data sources : United Nations World Population Prospects
BGD,SM.POP.TOTL,Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates.
BGD,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BGD,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BGD,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BGD,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BGD,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BGD,SP.DYN.LE00.IN,Derived using male and female life expectancy
BGD,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BGD,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BGD,SP.POP.GROW,Data sources: United Nations World Population Prospects
BGD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BGR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2014 are based on reports provided by the country. Long-term private nonguaranteed debt data from 2008 are World Bank staff estimates based on reports provided by the country. The data may include long-term public and publicly guaranteed debt owed by the state-owned railway. Short-term debt data for 2014 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
BGR,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BGR,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BGR,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BGR,SM.POP.NETM,Data sources : United Nations World Population Prospects
BGR,SM.POP.REFG,Data since 2004 are UNHCR estimate based on the arrival of refugees and asylum-seeker recognition over a 10-year period ending with the reporting year. The data source and definition for the earlier years is unclear.
BGR,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
BGR,SP.DYN.AMRT.FE,"Data source : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
BGR,SP.DYN.AMRT.MA,"Data source : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
BGR,SP.DYN.CBRT.IN,"Data sources : Eurostat, National Statistical Institute"
BGR,SP.DYN.CDRT.IN,"Data sources : Eurostat, National Statistical Institute"
BGR,SP.DYN.LE00.FE.IN,Data sources : Eurostat
BGR,SP.DYN.LE00.IN,Derived using male and female life expectancy
BGR,SP.DYN.LE00.MA.IN,Data sources : Eurostat
BGR,SP.DYN.TFRT.IN,Data sources : Eurostat
BGR,SP.POP.GROW,Data sources : Eurostat
BGR,SP.POP.TOTL,Data sources : Eurostat
BGR,TM.TAX.MANF.BC.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MANF.BR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MANF.IP.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MANF.SM.AR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MANF.SM.FN.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MANF.SR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MANF.WM.AR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MANF.WM.FN.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MRCH.BC.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MRCH.BR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MRCH.IP.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MRCH.SM.AR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MRCH.SM.FN.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MRCH.SR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MRCH.WM.AR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.MRCH.WM.FN.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.TCOM.BC.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.TCOM.BR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.TCOM.IP.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.TCOM.SM.AR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.TCOM.SM.FN.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.TCOM.SR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.TCOM.WM.AR.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BGR,TM.TAX.TCOM.WM.FN.ZS,European Union (EU) member countries apply a common tariff schedule. Historical data for EU member countries refer to data for the EU as a whole regardless of when the country became a member of EU and do not represent tariff schedules that were applied before the EU membership.
BHR,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BHR,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BHR,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BHR,FB.AST.NPER.ZS,Non FSI Reporter: Data for this indicator collected from IMF Area Department and may not follow the FSI Compilation Guide.
BHR,FB.BNK.CAPA.ZS,Non FSI Reporter: Data for this indicator collected from IMF Area Department and may not follow the FSI Compilation Guide.
BHR,SM.POP.NETM,Data sources : United Nations World Population Prospects
BHR,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside.
BHR,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BHR,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BHR,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BHR,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BHR,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BHR,SP.DYN.LE00.IN,Derived using male and female life expectancy
BHR,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BHR,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BHR,SP.POP.GROW,Data sources: United Nations World Population Prospects
BHR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BHS,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
BHS,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BHS,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BHS,SM.POP.NETM,Data sources : United Nations World Population Prospects
BHS,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
BHS,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BHS,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BHS,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BHS,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BHS,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BHS,SP.DYN.LE00.IN,Derived using male and female life expectancy
BHS,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BHS,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BHS,SP.POP.GROW,Data sources: United Nations World Population Prospects
BHS,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BIH,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2014 are based on reports provided by the country. Long-term private nonguaranteed debt data from 2005 are World Bank staff estimates. Short-term debt for 2014 is based on data from the BIS.
BIH,DT.DOD.DPPG.CD,Prior to 1999 data on long-term public and publicly guaranteed debt include only IBRD and IMF loans.
BIH,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BIH,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BIH,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BIH,SH.XPD.PCAP,Changes for per capita values are due to fluctuations in the US$ exchange rates.
BIH,SM.POP.NETM,Data sources : United Nations World Population Prospects
BIH,SM.POP.TOTL,Estimates are imputed using model estimates. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates.
BIH,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BIH,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BIH,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BIH,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BIH,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BIH,SP.DYN.LE00.IN,Derived using male and female life expectancy
BIH,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BIH,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BIH,SP.POP.GROW,Data sources: United Nations World Population Prospects
BIH,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BLR,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2014 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data for 2014 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).
BLR,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BLR,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BLR,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BLR,SH.XPD.PCAP,Changes for per capita values are due to fluctuations in the US$ exchange rates.
BLR,SM.POP.NETM,Data sources : United Nations World Population Prospects
BLR,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
BLR,SP.DYN.AMRT.FE,"Data source : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
BLR,SP.DYN.AMRT.MA,"Data source : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
BLR,SP.DYN.CBRT.IN,"Data sources : Eurostat, TransMONEE, United Nations World Population Prospects"
BLR,SP.DYN.CDRT.IN,"Data sources : Eurostat, TransMONEE, United Nations World Population Prospects"
BLR,SP.DYN.LE00.FE.IN,"Data sources : Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE"
BLR,SP.DYN.LE00.IN,Derived using male and female life expectancy
BLR,SP.DYN.LE00.MA.IN,"Data sources : Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE"
BLR,SP.DYN.TFRT.IN,"Data sources : Eurostat, Center for Demography and Human Ecology, United Nations World Population Prospects"
BLR,SP.POP.GROW,Data sources: National Statistical Committee of the Republic of Belarus
BLR,SP.POP.TOTL,Data sources : National Statistical Committee of the Republic of Belarus
BLZ,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2014 are based on reports provided by the country. Short-term debt data are not available.
BLZ,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
BLZ,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BLZ,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BLZ,SM.POP.NETM,Data sources : United Nations World Population Prospects
BLZ,SM.POP.TOTL,Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates.
BLZ,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BLZ,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BLZ,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BLZ,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BLZ,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BLZ,SP.DYN.LE00.IN,Derived using male and female life expectancy
BLZ,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BLZ,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BLZ,SP.POP.GROW,Data sources: United Nations World Population Prospects
BLZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BMU,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
BMU,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BMU,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BMU,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
BMU,SP.DYN.CBRT.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.DYN.CDRT.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.DYN.LE00.FE.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.DYN.LE00.IN,Derived using male and female life expectancy
BMU,SP.DYN.LE00.MA.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.DYN.TFRT.IN,"Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report"
BMU,SP.POP.GROW,Data sources: Bermuda Government Department of Statistics
BMU,SP.POP.TOTL,Data sources : Bermuda Government Department of Statistics
BOL,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2014 are based on reports provided by the country. Long-term private nonguaranteed and short-term debt data for 2014 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds). Data include the effects of HIPC and MDRI debt relief.
BOL,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BOL,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BOL,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BOL,FB.AST.NPER.ZS,Non FSI Reporter: Data for this indicator collected from IMF Area Department and may not follow the FSI Compilation Guide.
BOL,FB.BNK.CAPA.ZS,Non FSI Reporter: Data for this indicator collected from IMF Area Department and may not follow the FSI Compilation Guide.
BOL,SH.XPD.EXTR.ZS,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.OOPC.TO.ZS,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.OOPC.ZS,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.PCAP,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.PCAP.PP.KD,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.PRIV.ZS,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.PUBL,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.PUBL.GX.ZS,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.PUBL.ZS,Change of level in 2003 is due to reclassification of public spending.
BOL,SH.XPD.TOTL.ZS,Change of level in 2003 is due to reclassification of public spending.
BOL,SM.POP.NETM,Data sources : United Nations World Population Prospects
BOL,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
BOL,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BOL,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BOL,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BOL,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BOL,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BOL,SP.DYN.LE00.IN,Derived using male and female life expectancy
BOL,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BOL,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BOL,SP.POP.GROW,Data sources: United Nations World Population Prospects
BOL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2014 are based on reports provided by the country. Short-term debt data for 2014 are based on reports provided by the country.
BRA,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BRA,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BRA,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BRA,SM.POP.NETM,Data sources : United Nations World Population Prospects
BRA,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
BRA,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BRA,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BRA,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BRA,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BRA,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BRA,SP.DYN.LE00.IN,Derived using male and female life expectancy
BRA,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BRA,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BRA,SP.POP.GROW,Data sources: United Nations World Population Prospects
BRA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRB,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
BRB,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BRB,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BRB,SM.POP.NETM,Data sources : United Nations World Population Prospects
BRB,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
BRB,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BRB,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BRB,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BRB,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BRB,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BRB,SP.DYN.LE00.IN,Derived using male and female life expectancy
BRB,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BRB,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BRB,SP.POP.GROW,Data sources: United Nations World Population Prospects
BRB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRN,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BRN,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BRN,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BRN,SM.POP.NETM,Data sources : United Nations World Population Prospects
BRN,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
BRN,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BRN,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BRN,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BRN,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BRN,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BRN,SP.DYN.LE00.IN,Derived using male and female life expectancy
BRN,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BRN,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BRN,SP.POP.GROW,Data sources: United Nations World Population Prospects
BRN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BTN,DT.DOD.DECT.CD,Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2014 are based on reports provided by the country. Short-term debt for 2014 is based on data from the BIS.
BTN,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
BTN,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BTN,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
BTN,SM.POP.NETM,Data sources : United Nations World Population Prospects
BTN,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
BTN,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BTN,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BTN,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BTN,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BTN,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BTN,SP.DYN.LE00.IN,Derived using male and female life expectancy
BTN,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BTN,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BTN,SP.POP.GROW,Data sources: United Nations World Population Prospects
BTN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BWA,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2014 are World Bank staff estimates based on the original terms of the loans. Long-term private nonguaranteed debt data are not available. Short-term debt for 2014 is based on data from the BIS.
BWA,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
BWA,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BWA,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
BWA,SM.POP.NETM,Data sources : United Nations World Population Prospects
BWA,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside.
BWA,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
BWA,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
BWA,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
BWA,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
BWA,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
BWA,SP.DYN.LE00.IN,Derived using male and female life expectancy
BWA,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
BWA,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
BWA,SP.POP.GROW,Data sources: United Nations World Population Prospects
BWA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CAF,DT.DOD.DECT.CD,Long-term public and publicly guaranteed debt data for 2014 are based on reports provided by the country. Long-term private nonguaranteed debt data are not available. Short-term debt for 2014 is based on data from the BIS. Data include the effects of HIPC and MDRI debt relief.
CAF,EG.EGY.PRIM.PP.KD,"Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
CAF,EG.ELC.RNEW.ZS,Sources: UN Energy Statistics (2014)
CAF,EG.FEC.RNEW.ZS,Sources: UN Energy Statistics (2014)
CAF,SM.POP.NETM,Data sources : United Nations World Population Prospects
CAF,SM.POP.TOTL,Estimates are derived from data on foreign population. Foreign population is people who are citizens of a country other the country in which they reside.
CAF,SP.DYN.AMRT.FE,Data source : United Nations World Population Prospects
CAF,SP.DYN.AMRT.MA,Data source : United Nations World Population Prospects
CAF,SP.DYN.CBRT.IN,Data sources : United Nations World Population Prospects
CAF,SP.DYN.CDRT.IN,Data sources : United Nations World Population Prospects
CAF,SP.DYN.LE00.FE.IN,Data sources : United Nations World Population Prospects
CAF,SP.DYN.LE00.IN,Derived using male and female life expectancy
CAF,SP.DYN.LE00.MA.IN,Data sources : United Nations World Population Prospects
CAF,SP.DYN.TFRT.IN,Data sources : United Nations World Population Prospects
CAF,SP.POP.GROW,Data sources: United Nations World Population Prospects
CAF,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CAN,CM.MKT.TRNR,"Method of calculation: Before 2000, total domestic value of share trading of TMX Group and Bourse de Montr̩al divided by total domestic market capitalization of the two exchanges. After 2000, Bourse de Montr̩al does not have a cash market and is thus excluded."
CAN,EG.EGY.PRIM.PP.KD,"Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
CAN,EG.ELC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
CAN,EG.FEC.RNEW.ZS,"Sources: World Energy Statistics and Balances, IEA (2014)"
CAN,IS.RRS.TOTL.KM,Data before 2005 are for Canadian National Line only.
CAN,SM.POP.NETM,Data sources : United Nations World Population Prospects
CAN,SM.POP.REFG,Data since 2007 are UNHCR estimates based on the arrival of refugees and asylum-seeker recognition over a 10-year period ending with the reporting year. Data prior to 2007 are UNHCR estimates based on the arrival of refugees and asylum-seeker recognition over a 5-year period ending with the reporting year.
CAN,SM.POP.TOTL,Estimates are derived from data on foreign-born population.
CAN,SP.DYN.AMRT.FE,"Data source : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
CAN,SP.DYN.AMRT.MA,"Data source : Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
