Seriescode,Year,Description
SM.POP.NETM,YR2007,"The data refer to five-year periods running from 1 July, 2005 to 30 June, 2010."
SP.DYN.AMRT.FE,YR2007,"The data refer to 2005-2010, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR2007,The data refer to 2005-2010.
SP.ADO.TFRT,YR2008,Interpolated using data for 2007 and 2012.
SP.DYN.AMRT.FE,YR2008,"Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects."
IQ.WEF.PORT.XQ,YR2008,Data are weighted averages of 2007 and 2008 survey results.
IQ.WEF.CUST.XQ,YR2008,Data are weighted averages of 2007 and 2008 survey results.
SP.DYN.AMRT.MA,YR2008,"Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR2008,Interpolated using data for 2007 and 2012.
SP.DYN.TO65.MA.ZS,YR2008,Interpolated using data for 2007 and 2012.
SP.DYN.TO65.MA.ZS,YR2009,Interpolated using data for 2007 and 2012.
SP.DYN.TO65.FE.ZS,YR2009,Interpolated using data for 2007 and 2012.
SP.DYN.AMRT.MA,YR2009,"Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects."
IQ.WEF.CUST.XQ,YR2009,Data are weighted averages of 2008 and 2009 survey results.
IQ.WEF.PORT.XQ,YR2009,Data are weighted averages of 2008 and 2009 survey results.
SP.DYN.AMRT.FE,YR2009,"Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR2009,Interpolated using data for 2007 and 2012.
SP.ADO.TFRT,YR2010,Interpolated using data for 2007 and 2012.
SP.DYN.AMRT.FE,YR2010,"Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR2010,"Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR2010,Interpolated using data for 2007 and 2012.
SP.DYN.TO65.MA.ZS,YR2010,Interpolated using data for 2007 and 2012.
SP.DYN.TO65.MA.ZS,YR2011,Interpolated using data for 2007 and 2012.
SN.ITK.VITA.ZS,YR2011,"Full coverage with vitamin A supplements is reported as the lower percentage of 2 annual coverage points (i.e., lower point between round 1 (JanuaryJune) and round 2 (JulyDecember) of 2011)."
SP.DYN.TO65.FE.ZS,YR2011,Interpolated using data for 2007 and 2012.
SP.DYN.AMRT.MA,YR2011,"Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR2011,"Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR2011,Interpolated using data for 2007 and 2012.
NY.ADJ.SVNG.GN.ZS,YR2011,"Pollution damage data are for 2010, the most recent year available."
NY.ADJ.SVNG.GN.ZS,YR2012,"Pollution damage data are for 2010, the most recent year available."
SM.POP.NETM,YR2012,"The data refer to five-year periods running from 1 July, 2010 to 30 June, 2015."
SP.ADO.TFRT,YR2012,The data refer to 2010-2015.
SP.DYN.AMRT.FE,YR2012,"The data refer to 2010-2015, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.MA,YR2012,"The data refer to 2010-2015, if the data source is United Nations World Population Prospects."
SP.DYN.TO65.FE.ZS,YR2012,The data refer to 2010-2015.
SN.ITK.VITA.ZS,YR2012,"Full coverage with vitamin A supplements is reported as the lower percentage of 2 annual coverage points (i.e., lower point between round 1 (JanuaryJune) and round 2 (JulyDecember) of 2012)."
SP.DYN.TO65.MA.ZS,YR2012,The data refer to 2010-2015.
SP.DYN.TO65.MA.ZS,YR2013,Interpolated using data for 2012 and 2017.
SN.ITK.VITA.ZS,YR2013,"Full coverage with vitamin A supplements is reported as the lower percentage of 2 annual coverage points (i.e., lower point between semester 1 (JanuaryJune) and semester 2 (JulyDecember) of 2013).  Data are only presented for VAS priority countries."
SP.DYN.TO65.FE.ZS,YR2013,Interpolated using data for 2012 and 2017.
SP.DYN.AMRT.MA,YR2013,"Interpolated using data for 2012 and 2017, if the data source is United Nations World Population Prospects."
SP.DYN.AMRT.FE,YR2013,"Interpolated using data for 2012 and 2017, if the data source is United Nations World Population Prospects."
SP.ADO.TFRT,YR2013,Interpolated using data for 2012 and 2017.
NY.ADJ.SVNG.GN.ZS,YR2013,"Pollution damage data are for 2010, the most recent year available."
SM.POP.REFG,YR2014,2014 data are provisional and subject to change
SM.POP.REFG.OR,YR2014,2014 data are provisional and subject to change.
SP.ADO.TFRT,YR2014,Interpolated using data for 2012 and 2017.
DT.DOD.PVLX.CD,YR2014,Present value calculations for these countries are for public and publicly guaranteed debt only.
